"Index","ASX_200_A_REIT","ASX_200_BANKS","China_25","CSI300","DJ_Ind_Av","DJ_UBS_Commodity_GBP","DJStoxx50","DS_PrivateEquity_GBP","E_ARS","E_AUD","E_AUD_M","E_AUD_S","E_AUT","E_BEF","E_BRL","E_CAD","E_CAD_M","E_CAD_S","E_CHF","E_CNY","E_CZK","E_DEM","E_DEM_M","E_DEM_S","E_DKK","E_ESP","E_ESP_M","E_EUR_BasicMats","E_EUR_ConsumerGoods","E_EUR_ConsumerServices","E_EUR_Financials","E_EUR_HealthCare","E_EUR_Industrials","E_EUR_M","E_EUR_OilGas","E_EUR_S","E_EUR_Technology","E_EUR_Telecom","E_EUR_Utilities","E_FKK","E_FRA","E_GBP","E_GBP_S","E_GRD","E_HKD","E_HUF","E_IDR","E_ILS","E_INR","E_IRE","E_ITL","E_JPY","E_JPY_S_SNP","E_KRW","E_MXN","E_MYR","E_NOK","E_NTH","E_NTH_M","E_NZD","E_PHP","E_PLN","E_PTE","E_RUB","E_SEK","E_SGD","E_THB","E_TRY","E_TWD","E_USD","E_USD_BasicMats","E_USD_ConsumerGoods","E_USD_ConsumerServices","E_USD_Financials","E_USD_HealthCare","E_USD_Industrials","E_USD_L","E_USD_OilGas","E_USD_S","E_USD_Technology","E_USD_Telecom","E_USD_Utilities","E_ZAR","E_ZAR_S","EAFE_GBP","EAFE_S_USD","EAFE_USD","EUR_BankLoans","Euro_HY_TR","EURSTOXX50","FTSE_NAREIT_Global_AUD","FTSE100","FTSE250","FTSE350_HY","Global_Infra_World_DS_USD","Global_Infra_World_FTSE_USD","HEX25","HFRI_ED_Distressed","HFRI_ED_MA","HFRI_EH_EQMN","HFRI_EH_QuantDirectional","HFRI_EH_SB","HFRI_EH_Sector_Energy_BasicMat","HFRI_EH_Sector_Tech_Health","HFRI_EM","HFRI_EM_AsiaExJapan","HFRI_EM_Global","HFRI_EM_LatinAmerica","HFRI_EM_Russia_E_Europe","HFRI_EquityHedge","HFRI_EventDriven","HFRI_FoF_Composite","HFRI_FoF_Conservative","HFRI_FoF_Diversified","HFRI_FoF_Mkt_Defensive","HFRI_FoF_Strategic","HFRI_FWHF","HFRI_Macro","HFRI_Macro_Syst_Div","HFRI_RelativeValue","HFRI_RV_ConvArb","HFRI_RV_Corporate","HFRI_RV_Fixed_Inc_AB","HFRI_RV_MultiStrat","HFRI_RV_YA","HFRI_WC_GBP","HFRX_AbsoluteReturn","HFRX_FI_AB","HFRX_FI_Corporate","HFRX_FI_Credit_USD","HFRX_FI_Sovereign","HFRX_Global_HF","HFRX_Macro_Commodity","HFRX_Macro_CTA","HFRX_Macro_Currency","HFRX_Macro_MultiStrat","HFRX_Volatility","Infrastructure","JSE_AllShare","JSE_Prop","MSCI_AC_AsiaExJap_USD","MSCI_AC_WRLD_S_USD","MSCI_AC_WRLDExAU_AUD","MSCI_AC_WRLDExAU_LOC","MSCI_AC_WRLDexUS_S_USD","MSCI_AC_WRLDExUS_USD","MSCI_AsiaPacExJap_EUR","MSCI_AsiaPacExJap_GBP","MSCI_AsiaPacExJap_USD","MSCI_EFM_AfricaExZA_USD","MSCI_EM_EUR","MSCI_EM_GBP","MSCI_EM_GBP_Hedged","MSCI_EM_NOK","MSCI_EM_USD","MSCI_EM_USD_Hedged","MSCI_EM_ZAR","MSCI_EUROPE_EUR","MSCI_Frontier_EUR","MSCI_PacificExJapan_EUR","MSCI_WRLD_EUR","MSCI_WRLD_GBP","MSCI_WRLD_Hedged","MSCI_WRLD_HighYield_EUR","MSCI_WRLD_HighYield_GBP","MSCI_WRLD_HighYield_USD","MSCI_WRLD_INFRA_AUD","MSCI_WRLD_LOC","MSCI_WRLD_NOK","MSCI_WRLD_NZD","MSCI_WRLD_S_USD","MSCI_WRLD_USD","MSCI_WRLD_USD_Hedged","MSCI_WRLD_ZAR","MSCI_WRLDExAU_AUD","MSCI_WRLDexAUD_LOC","MSCI_WRLDexUK_USD","NDX","Newedge_CTA","NKY225","RUT","RUT_1000","SP_Global_Infra_USD","SP_Global_Property_USD","SP_ListedPrivateEquity_USD","SP_MID","SP100","Timber","TOPIX","USD_BankLoans"
1960-03-31,null,null,null,null,-0.096946881163666,null,null,null,null,0.045675269781881,null,null,null,-0.052124090973155,null,-0.071401805859621,null,null,0.013319262282431,null,null,0.001354540997256,null,null,null,0.023170692586588,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.096289758984816,-0.053257118614547,null,null,null,null,null,null,null,null,0.053043905147616,0.20438108054204,null,null,null,null,0.007660888067182,-0.031473708386414,null,null,null,null,null,null,-0.095444279742505,null,null,null,null,-0.108461411116861,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.05420004939643,null,-0.053257118616525,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.204381080540904,null
1960-06-30,null,null,null,null,0.030091162348909,null,null,null,null,0.041720390656549,null,null,null,0.040356768077353,null,-0.00538344719737,null,null,0.227966121191775,null,null,0.307162636949945,null,null,null,0.031397417772273,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.125628517868038,-0.030605625233683,null,null,null,null,null,null,null,null,0.249825510115809,-0.000569482289582,null,null,null,null,-0.002392833521083,0.132654910328984,null,null,null,null,null,null,0.051237050873404,null,null,null,null,0.020697813782979,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.115688220277998,null,-0.030605625231905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.000569482288341,null
1960-09-30,null,null,null,null,-0.105242576825662,null,null,null,null,0.018553322051053,null,null,null,-0.056911185837361,null,-0.000108689745251,null,null,0.083630360883678,null,null,0.055870013254361,null,null,null,0.018641359851669,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.002327828111492,0.040560468412686,null,null,null,null,null,null,null,null,0.149580435292158,0.063079008416878,null,null,null,null,0.06840193941741,-0.080867620215682,null,null,null,null,null,null,0.080547934763646,null,null,null,null,-0.07470729279142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.013656173484642,null,0.040560468409675,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.063079008416874,null
1960-12-31,null,null,null,null,0.053674554535751,null,null,null,null,-0.124336817177327,null,null,null,-0.077057264988958,null,0.094552316940822,null,null,0.015570250398229,null,null,-0.068897111966273,null,null,null,0.011326477775681,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.012058906816278,-0.040047735962572,null,null,null,null,null,null,null,null,-0.178926619145895,-0.021276852153798,null,null,null,null,0.032910374259852,-0.02377325745222,null,null,null,null,null,null,-0.013506242347885,null,null,null,null,0.071239132507455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.024805647447509,null,-0.04004773596253,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.021276852154925,null
1961-03-31,null,null,null,null,0.088493566314461,null,null,null,null,0.053711982450414,null,null,null,0.126534596050858,null,0.114315912037439,null,null,0.17100081922778,null,null,-0.035361129312668,null,null,null,0.093100952566229,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.178922611349107,0.126849665102924,null,null,null,null,null,null,null,null,0.091514144197731,-0.006361325842514,null,null,null,null,0.065807734288344,0.135152318466452,null,null,null,null,null,null,0.011678132637545,null,null,null,null,0.106260621433406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.093657533690206,null,0.126849665105149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.006361325842596,null
1961-06-30,null,null,null,null,0.004870125273359,null,null,null,null,0.097758019290596,null,null,null,0.012781358987784,null,0.078705141911428,null,null,0.182168324098985,null,null,0.056713608804606,null,null,null,0.110788588975671,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.034930602235643,-0.0439424477151,null,null,null,null,null,null,null,null,0.112492368603385,0.011451049790847,null,null,null,null,0.072212449284139,-0.152468012242782,null,null,null,null,null,null,0.051888201273842,null,null,null,null,-0.010591991737707,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.030807930149838,null,-0.043942447713489,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.011451049791891,null
1961-09-30,null,null,null,null,0.019149803053787,null,null,null,null,-0.040702101643003,null,null,null,-0.076818523516072,null,0.023979131076006,null,null,-0.106422636086928,null,null,-0.163646063377775,null,null,null,0.056628166172136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.105306820306055,-0.088271466230256,null,null,null,null,null,null,null,null,-0.101342468472279,-0.171681400412314,null,null,null,null,0.005630747780468,-0.04213794341516,null,null,null,null,null,null,-0.012593377856286,null,null,null,null,0.024628461133319,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.06496538603945,null,-0.088271466232021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.171681400412348,null
1961-12-31,null,null,null,null,0.035624392520904,null,null,null,null,0.010860629906364,null,null,null,0.06524614896791,null,0.066263332247053,null,null,0.154413653004975,null,null,0.051867430523453,null,null,null,0.026608371158363,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.052881277710669,0.022812566772492,null,null,null,null,null,null,null,null,-0.015222425052998,-0.065879788094872,null,null,null,null,0.003393024692939,0.089515665738297,null,null,null,null,null,null,-0.028440031123583,null,null,null,null,0.072055788520761,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.055958932943614,null,0.02281256677275,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.06587978809475,null
1962-03-31,null,null,null,null,-0.039866946719471,null,null,null,null,0.03651127569307,null,null,null,0.04811770645622,null,-0.014129297162393,null,null,0.019369545522454,null,null,-0.061357585088589,null,null,null,0.105746098158799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.132844953980172,-0.029016009120115,null,null,null,null,null,null,null,null,-0.019454268130576,-0.048578007624904,null,null,null,null,-0.033350278297119,0.031943326737242,null,null,null,null,null,null,0.00136059887331,null,null,null,null,-0.036113533702573,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.017101819053892,null,-0.029016009120266,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.048578007625282,null
1962-06-30,null,null,null,null,-0.236913205441861,null,null,null,null,-0.0498610025519,null,null,null,-0.119813640865733,null,-0.172467482579647,null,null,-0.303152008466046,null,null,-0.29709197453512,null,null,null,-0.073398409394349,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.180849249333167,-0.069408753391133,null,null,null,null,null,null,null,null,-0.203702419706889,0.027440453253391,null,null,null,null,-0.10115241254373,-0.1997494155163,null,null,null,null,null,null,-0.102051237351292,null,null,null,null,-0.245447323214534,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.203143082142626,null,-0.069408753392599,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.027440453252812,null
