"Index","E_ARS","E_AUD","E_AUT","E_BEF","E_BRL","E_CAD","E_CHF","E_CNY","E_CZK","E_DEM","E_DKK","E_ESP","E_FKK","E_FRA","E_GBP","E_GRD","E_HKD","E_HUF","E_IDR","E_ILS","E_INR","E_IRE","E_ITL","E_JPY","E_KRW","E_MXN","E_MYR","E_NOK","E_NTH","E_NZD","E_PHP","E_PLN","E_RUB","E_SEK","E_SGD","E_SKK","E_THB","E_TRY","E_TWD","E_USD","E_ZAR","EURSTOXX50"
1961-09-30,null,null,null,0.0425,null,null,0.0188,null,null,0.0306,null,null,null,0.0357,0.0655,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,0.025,null,0.0288592962374542
1961-10-31,null,null,null,0.0425,null,null,0.0188,null,null,0.0405,null,null,null,0.036,0.0573,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0168,null,null,null,null,null,null,null,null,null,null,0.025,null,0.032996875501167
1961-11-30,null,null,null,0.0425,null,null,0.0238,null,null,0.0371,null,null,null,0.0352,0.0539,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0174,null,null,null,null,null,null,null,null,null,null,0.0251,null,0.0323026183129174
1961-12-31,null,null,null,0.0422,null,null,0.0225,null,null,0.0383,null,null,null,0.0358,0.054,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0132,null,null,null,null,null,null,null,null,null,null,0.0252,null,0.0313697869542543
1962-01-31,null,null,null,0.038,null,null,0.0213,null,null,0.0293,null,null,null,0.0351,0.0524,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0131,null,null,null,null,null,null,null,null,null,null,0.0251,null,0.0282573916008155
1962-02-28,null,null,null,0.0351,null,null,0.0206,null,null,0.0294,null,null,null,0.0356,0.0553,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0102,null,null,null,null,null,null,null,null,null,null,0.0251,null,0.026805098217201
1962-03-31,null,null,null,0.0336,null,null,0.0225,null,null,0.0302,null,null,null,0.0365,0.0441,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0181,null,null,null,null,null,null,null,null,null,null,0.025,null,0.0290691348890712
1962-04-30,null,null,null,0.0309,null,null,0.0238,null,null,0.0308,null,null,null,0.0393,0.0405,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0213,null,null,null,null,null,null,null,null,null,null,0.0262333333333333,null,0.0299732203162011
1962-05-31,null,null,null,0.03,null,null,0.025,null,null,0.0308,null,null,null,0.0398,0.0382,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0246,null,null,null,null,null,null,null,null,null,null,0.0274666666666667,null,0.0308029074177913
1962-06-30,null,null,null,0.03,null,null,0.025,null,null,0.0313,null,null,null,0.0359,0.0392,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0232,null,null,null,null,null,null,null,null,null,null,0.0287,null,0.0297829857325317
1962-07-31,null,null,null,0.03,null,null,0.025,null,null,0.0329,null,null,null,0.0366,0.0389,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0221,null,null,null,null,null,null,null,null,null,null,0.0294333333333333,null,0.0299310915230517
1962-08-31,null,null,null,0.0299,null,null,0.0225,null,null,0.0326,null,null,null,0.0346,0.0375,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0153,null,null,null,null,null,null,null,null,null,null,0.0301666666666667,null,0.0274933565730617
1962-09-30,null,null,null,0.029,null,null,0.025,null,null,0.032,null,null,null,0.0348,0.0364,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0157,null,null,null,null,null,null,null,null,null,null,0.0309,null,0.0272956488461765
1962-10-31,null,null,null,0.0295,null,null,0.0275,null,null,0.0445,null,null,null,0.0351,0.0386,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0196,null,null,null,null,null,null,null,null,null,null,0.0307,null,0.0312646180112077
1962-11-30,null,null,null,0.03,null,null,0.0288,null,null,0.0433,null,null,null,0.035,0.0369,null,null,null,null,null,null,null,0.0341,0.0608,null,null,null,null,0.0185,null,null,null,null,null,null,null,null,null,null,0.0305,null,0.0306551640106977
1962-12-31,null,null,null,0.03,null,null,0.0288,null,null,0.0435,null,null,null,0.0351,0.0372,null,null,null,null,null,null,null,0.0352,0.0608,null,null,null,null,0.0198,null,null,null,null,null,null,null,null,null,null,0.0304,null,0.031164810098797
1963-01-31,null,null,null,0.03,null,null,0.0269,null,null,0.0329,null,null,null,0.0341,0.0349,null,null,null,null,null,null,null,0.0352,0.0608,null,null,null,null,0.0193,null,null,null,null,null,null,null,null,null,null,0.0308,null,0.0285849543887522
1963-02-28,null,null,null,0.03,null,null,0.0263,null,null,0.0331,null,null,null,0.0341,0.0343,null,null,null,null,null,null,null,0.0352,0.0608,null,null,null,null,0.0167,null,null,null,null,null,null,null,null,null,null,0.0311,null,0.0278700139865263
1963-03-31,null,null,null,0.03,null,null,0.0269,null,null,0.0353,null,null,null,0.0344,0.0376,null,null,null,null,null,null,null,0.0352,0.0608,null,null,null,null,0.0188,null,null,null,null,null,null,null,null,null,null,0.0314,null,0.0290039934719929
1963-04-30,null,null,null,0.03,null,null,0.0269,null,null,0.0356,null,null,null,0.0385,0.0371,null,null,null,null,null,null,null,0.0352,0.0608,null,null,null,null,0.0191,null,null,null,null,null,null,null,null,null,null,0.0313,null,0.0299101259248875
1963-05-31,null,null,null,0.03,null,null,0.0275,null,null,0.036,null,null,null,0.0395,0.0364,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0196,null,null,null,null,null,null,null,null,null,null,0.0312,null,0.0303949262859009
1963-06-30,null,null,null,0.03,null,null,0.0281,null,null,0.0383,null,null,null,0.0493,0.037,null,null,null,null,null,null,null,0.0363,0.0571,null,null,null,null,0.0187,null,null,null,null,null,null,null,null,null,null,0.0329,null,0.0324257466018712
1963-07-31,null,null,null,0.0318,null,null,0.0288,null,null,0.0398,null,null,null,0.0514,0.0376,null,null,null,null,null,null,null,0.0363,0.0571,null,null,null,null,0.0207,null,null,null,null,null,null,null,null,null,null,0.0336,null,0.034160900274827
1963-08-31,null,null,null,0.034,null,null,0.0288,null,null,0.0381,null,null,null,0.0403,0.0372,null,null,null,null,null,null,null,0.0363,0.0571,null,null,null,null,0.0178,null,null,null,null,null,null,null,null,null,null,0.035,null,0.0314578961714588
1963-09-30,null,null,null,0.0342,null,null,0.0313,null,null,0.0375,null,null,null,0.0325,0.0368,null,null,null,null,null,null,null,0.0363,0.0571,null,null,null,null,0.0189,null,null,null,null,null,null,null,null,null,null,0.0356,null,0.0302642262500187
1963-10-31,null,null,null,0.0352,null,null,0.0313,null,null,0.0513,null,null,null,0.0363,0.0374,null,null,null,null,null,null,null,0.0363,0.0571,null,null,null,null,0.0195,null,null,null,null,null,null,null,null,null,null,0.0375,null,0.0343166783773899
1963-11-30,null,null,null,0.0388,null,null,0.0319,null,null,0.05,null,null,null,0.0436,0.0374,null,null,null,null,null,null,null,0.0363,0.0571,null,null,null,null,0.021,null,null,null,null,null,null,null,null,null,null,0.0378,null,0.0367168687054863
